object defined with implicit instantiated type, file, line
version, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/OneSixUpdate.cpp, //197
targetVersion, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/OneSixUpdate.h, //61
versionUpdateTask, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/OneSixUpdate.h, //63
m_gate, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/settings/PassthroughSetting.h, //44
m_other, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/settings/PassthroughSetting.h, //43
m_vMRUEntries, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/frame.h, //321
m_vMenuItemData, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/frame.h, //319
m_vResizeData, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/dialog.h, //170
toc_data, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/depends/hoedown/hoedown/html.h, //44
m_filterModel, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/pages/ScreenshotsPage.h, //76
m_model, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/pages/ScreenshotsPage.h, //75
m_vGDIObjects, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/gdi.h, //402
version, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/MinecraftProfile.cpp, //271
m_vPages, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/propertysheet.h, //159
m_currentTask, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/auth/MojangAccount.h, //156
m_vWideArray, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/winutils.h, //319
m_vAnsiArray, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/winutils.h, //342
m_vSubMenus, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/menu.h, //180
m_vTLSData, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/wincore.h, //385
